Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Drafted
2001,Gary Baxter,Baylor,CB,74,204,4.53,,37.5,122,4.21,7.39,1
2001,Harold Blackmon,Northwestern,CB,73,210,4.54,17,37,121,4.28,7.03,1
2001,Kenny Bryant,Jackson State,CB,71,190,4.65,10,37.5,117,4.15,7.52,0
2001,Jerametrius Butler,Kansas State,CB,70,173,4.57,11,36,121,4.4,7.22,1
2001,Tay Cody,Florida State,CB,69,181,4.55,11,,,,,1
2001,Rodney Crayton,Auburn,CB,68,178,4.6,13,35.5,118,4.4,7.25,0
2001,Patrick Dyson,Utah,CB,71,192,4.55,,31.5,114,,,0
2001,Nijrell Eason,Arizona State,CB,73,210,4.59,19,34.5,119,,,0
2001,Kenneth Grant,Kentucky,CB,70,202,4.53,,39,109,4.34,7.15,0
2001,Jamie Henderson,Georgia,CB,74,202,4.48,10,40.5,125,4.12,6.9,1
2001,Anthony Henry,South Florida,CB,73,198,4.6,15,41,126,4.21,6.92,1
2001,Renaldo Hill,Michigan State,CB,71,178,4.68,10,35.5,116,4.18,7.03,1
2001,Rashad Holman,Louisville,CB,71,186,4.58,6,42,129,3.85,7.09,1
2001,Ligarius Jennings,Tennessee State,CB,70,202,4.67,11,34,120,4.07,7.07,0
2001,Bhawoh Jue,Penn State,CB,73,199,4.54,,34.5,113,4.21,7.21,0
2001,Eric Kelly,Kentucky,CB,71,199,4.46,15,36,119,4.18,7.24,1
2001,Willie Middlebrooks,Minnesota,CB,74,200,4.5,17,,,,,1
2001,Keon Moore,Southern Mississippi,CB,71,193,4.56,10,37.5,119,4.25,7.06,0
2001,Leonard Myers,Miami,CB,70,190,4.65,13,37,120,4.16,7.21,1
2001,Will Peterson,Western Illinois,CB,73,197,4.51,13,38.5,120,,,0
2001,Carey Scott,Kentucky State,CB,71,208,4.65,,30,113,4.18,7.52,1
2001,Dwight Smith,Akron,CB,70,212,4.51,15,33.5,114,,,1
2001,Michael Stone,Memphis,CB,71,191,4.51,17,41,127,,,1
2001,Clevan Thomas,Florida State,CB,69,189,4.64,,36,118,4.24,7.4,0
2001,Raymond Walls,Southern Mississippi,CB,71,176,4.51,,39,124,4.18,,1
2001,James Whitley,Michigan,CB,71,193,4.73,9,39,118,4.4,7.04,0
2001,Brock Williams,Notre Dame,CB,70,183,4.46,11,42.5,130,4.21,6.7,1
2001,Jimmy Williams,Vanderbilt,CB,70,188,4.58,,36,120,,7.12,1
2000,Rashard Anderson,Jackson State,CB,75,206,4.55,,34,123,4.15,7.18,0
2000,Reggie Austin,Wake Forest,CB,70,175,4.44,17,35,119,4.14,7.03,1
2000,David Barrett,Arkansas,CB,70,199,4.44,16,37.5,116,4.04,6.81,1
2000,William Bartee,Oklahoma,CB,73,192,4.43,,38.5,124,3.99,6.7,1
2000,Robert Bean,Mississippi State,CB,71,178,4.5,,34.5,122,4.2,6.87,1
2000,Ralph Brown,Nebraska,CB,70,185,4.55,10,,,,,1
2000,David Byrd,Syracuse,CB,73,202,4.53,14,36,117,4.39,7.18,0
2000,Ike Charlton,Virginia Tech,CB,71,205,4.47,16,,126,,,1
2000,Renard Cox,Maryland,CB,73,192,4.68,13,38,111,,7.1,0
2000,Sedrick Curry,Texas A&M,CB,74,197,4.44,,39,125,3.94,6.34,0
2000,Mario Edwards,Florida State,CB,73,191,4.46,32,32.5,120,4.55,7.44,1
2000,Lamar Grant,Duke,CB,71,188,4.62,16,32,117,4.3,7.3,0
2000,Brian Gray,BYU,CB,73,214,4.94,19,33.5,116,4.24,7.38,0
2000,Antwan Harris,Virginia,CB,69,186,4.34,16,39,121,4.01,6.75,1
2000,Jeff Harris,Georgia,CB,73,190,4.53,,34.5,114,4.25,6.73,1
2000,Lloyd Harrison,North Carolina State,CB,70,190,4.5,16,37.5,119,4.25,7.12,1
2000,Ethan Howell,Oklahoma State,CB,71,186,4.56,16,,,4.13,6.98,0
2000,Ben Kelly,Colorado,CB,69,183,4.53,17,36,116,3.95,6.63,1
2000,Kareem Larrimore,West Texas A&M,CB,71,190,4.42,,34,125,,,1
2000,David Macklin,Penn State,CB,69,194,4.54,,37.5,120,4.09,6.9,1
2000,Anthony Malbrough,Texas Tech,CB,69,184,4.44,20,35.5,117,4,6.73,1
2000,Hank Poteat,Pittsburgh,CB,70,197,4.57,16,37,126,4,6.66,1
2000,Lewis Sanders,Maryland,CB,73,202,4.5,10,37,116,,,1
2000,Tony Scott,North Carolina State,CB,70,193,4.5,11,34,115,4.24,7.45,1
2000,Jacoby Shepherd,Oklahoma State,CB,74,195,4.53,5,35,120,,,1
2000,Darrick Vaughn,Texas State,CB,71,196,4.53,14,36.5,121,4.16,7.09,1
2000,Jason Webster,Texas A&M,CB,69,180,4.42,17,35.5,122,3.98,6.76,1
2000,Damon Wheeler,Colorado,CB,69,179,4.51,11,35,115,4.27,7.21,0
1999,Champ Bailey,Georgia,CB,73,184,4.28,,37,121,3.79,,1
1999,Dre' Bly,North Carolina,CB,70,186,4.51,,34.5,116,4.09,7.1,1
1999,Jason Bray,Auburn,CB,70,185,4.49,,33,113,4.35,7.2,0
1999,Kevin Brooks,South Carolina,CB,69,169,4.34,,36,119,3.86,6.99,0
1999,Fernando Bryant,Alabama,CB,70,183,4.5,,35.5,115,4.06,7.03,1
1999,Jason Craft,Colorado State,CB,70,178,4.52,14,37.5,113,4.2,6.97,1
1999,Chris Cummings,Louisiana State,CB,68,186,4.48,21,34.5,125,4.14,6.87,0
1999,Eric Edwards,Oregon,CB,71,180,4.65,10,34,113,4.27,7.3,0
1999,Charles Fisher,West Virginia,CB,73,182,4.49,10,38,124,4.16,,1
1999,Andre Holland,Oregon State,CB,69,181,4.41,14,34,112,,,0
1999,Jermaine Jones,Northwestern State (LA),CB,68,180,4.53,12,38.5,118,3.96,6.79,1
1999,Marvin Love,Kentucky,CB,69,164,4.45,,35.5,123,4.09,7.09,0
1999,Deshone Mallard,Southern Mississippi,CB,70,186,4.51,10,35.5,117,4.25,7.31,0
1999,Chris McAlister,Arizona,CB,73,205,4.53,,38,121,4.08,6.9,1
1999,Daylon McCutcheon,Southern California,CB,69,180,4.48,13,36,118,4.35,7.21,1
1999,Paul Miranda,Central Florida,CB,70,180,4.42,11,40.5,125,4.1,7.18,1
1999,Donald Mitchell,Southern Methodist,CB,70,187,4.47,24,37,121,4.08,6.87,1
1999,Dee Moronkola,Washington State,CB,69,204,4.45,17,33.5,112,4.12,7.11,1
1999,Gerald Neasman,Kansas State,CB,70,186,4.64,10,31.5,115,4.41,7.96,0
1999,Anthony Parker,Weber State (UT),CB,73,197,4.39,8,31,113,4.27,7.56,1
1999,Jacoby Rhinehart,Southern Methodist,CB,71,187,4.61,,34,122,4.11,6.91,0
1999,Ty Talton,Northern Iowa,CB,73,202,4.61,17,39,123,4,6.96,0
1999,Fred Vinson,Vanderbilt,CB,71,177,4.39,14,36,121,4.17,7.21,1
1999,Chris Watson,Eastern Illinois,CB,73,191,4.34,18,37,124,3.86,6.8,1
1999,Andre Weathers,Michigan,CB,73,189,4.65,,32,119,4.03,7.03,1
1999,Antoine Winfield,Ohio State,CB,69,176,4.41,,37,122,3.95,6.84,1
